text,label
Really struggling with this. I'm stuck between majoring in English and Pre-Med. Which has better long-term prospects?,education
My cholesterol is high. Should I change my diet or take statins? Feeling so lost.,health
I've been thinking a lot about this. I'm pregnant and not sure I want to keep it. How do I make this decision?,family
College is destroying my mental health. Should I prioritize my wellbeing or push through? Feeling so lost.,education
Big decision ahead. I'm happier when my partner is away on trips. What does that say about us?,relationship
My parents want to give me money to invest for them. Should I mix our finances? What would you do?,finance
Not sure what to do. Should I buy a new construction home or something with character that's older?,finance
Really struggling with this. My psychiatrist suggested ECT for my depression. Should I consider it?,health
My friends are all having kids and I'm feeling left behind. Should that influence my decision? I really need some perspective.,family
Should I go to the ER or wait for an urgent care appointment? Any advice?,health
Should I leave my cushy corporate job to work at a nonprofit with a mission I care about? Please help me decide.,career
Help! Should I do a thesis-based or course-based master's program?,education
Help! Should I prioritize my child's happiness or their future success?,family
Should I use a robo-advisor or manage my investments myself? Please help me decide.,finance
Here's my situation. Should I combine my Journalism major with a Nursing minor for better job prospects?,education
Is the Pomodoro technique actually effective or just trendy? Am I overthinking this?,lifestyle
Should I double major or focus on one thing and do it well? I really need some perspective.,education
Not sure what to do. College is destroying my mental health. Should I prioritize my wellbeing or push through?,education
My friends are all having kids and I'm feeling left behind. Should that influence my decision? Please help me decide.,family
Should my partner and I have kids even though we both have demanding careers? I really need some perspective.,family
I need advice. My lease is ending. Should I renew or finally make the move I've been dreaming about?,relocation
We're debating between gentle parenting and unconditional parenting. Which is better? Any advice?,family
Not sure what to do. My kid is being bullied. Should I call the school or teach them to handle it?,family
My doctor says I'm pre-diabetic. Should I go on medication or try lifestyle changes first? Am I overthinking this?,health
Is organic produce worth the extra cost? Please help me decide.,health
Here's my situation. I got accepted to State University for Journalism and a community college for Nursing. Which should I choose?,education
My university doesn't offer the exact major I want. Should I transfer or make do? What would you do?,education
Help! Should I plan every hour of my day or leave room for spontaneity?,lifestyle
"Should I move to a walkable city and sell my car, or keep the car and the suburbs? Any advice?",relocation
Should I have a nighttime routine or just collapse into bed? I really need some perspective.,lifestyle
Should I move closer to work to cut my commute or keep my affordable place?,relocation
Big decision ahead. I found out my partner has been lying about noise. Is this a dealbreaker?,relationship
Here's my situation. My company is relocating to New York and I have to decide by next month. What should I consider?,relocation
Really struggling with this. My doctor cleared me for exercise after a knee injury. Should I start slow or push through?,health
I've been thinking a lot about this. My spouse got a diplomatic posting to Canada. Should the whole family go?,relocation
I've been thinking a lot about this. My kid wants a dog but I know I'll be the one taking care of it. Should we get one?,family
Here's my situation. Should I invest in crypto or is it too risky?,finance
Should I count calories or focus on eating whole foods?,health
Really struggling with this. My doctor said I need to leave my physically demanding job. How do I transition to something else at 55?,career
Should I move closer to work to cut my commute or keep my affordable place? Has anyone been through this?,relocation
My partner never apologizes. Is this a personality trait or a red flag? What would you do?,relationship
Here's my situation. We're debating between permissive parenting and positive parenting. Which is better?,family
Should I rent first when moving to a new city or buy immediately? Feeling so lost.,relocation
Should I invest in individual stocks or stick with index funds?,finance
Here's my situation. My psychiatrist suggested ECT for my depression. Should I consider it?,health
My lease is ending. Should I renew or finally make the move I've been dreaming about?,relocation
My friend wants me to be their roommate in Vancouver. Should I take the plunge? Has anyone been through this?,relocation
Really struggling with this. My children don't want to move abroad. Should I make them anyway?,relocation
Help! Is getting a second master's degree in a different field a good idea?,education
I've been thinking a lot about this. I got into my dream school for the wrong major. Should I go anyway?,education
Help! We moved in together and now we fight about bathroom time all the time. Is this normal?,relationship
I need advice. I found messages between my partner and their coworker. Should I confront them?,relationship
My doctor cleared me for exercise after a back injury. Should I start slow or push through? What would you do?,health
My kid wants a dog but I know I'll be the one taking care of it. Should we get one? Am I overthinking this?,family
Not sure what to do. My parents offered to help with the down payment but want a say in which house. Should I accept?,finance
Help! I'm pregnant and not sure I want to keep it. How do I make this decision?,family
Should we celebrate every achievement or save praise for big things? Feeling so lost.,family
Should I take an entry-level position in a new field or hold out for something senior? What would you do?,career
Should I accept a promotion that means working weekends? Any advice?,career
Should I move to a smaller town where I can afford a house or stay in the city and rent? Please help me decide.,relocation
We want completely different things in life. Should we break up now or hope things change? What would you do?,relationship
I'm 45 and have no down payment saved. Should I even think about buying a home? Am I overthinking this?,finance
Here's my situation. My doctor recommended shoulder surgery but I'm scared of the risks. What should I do?,health
Is it better to rent and invest the difference or buy a home? Feeling so lost.,finance
Help! Should I turn my hobby into a side business or keep it fun?,lifestyle
Help! Should I use habit stacking to build new routines?,lifestyle
Not sure what to do. I want to start investing but the market feels really high right now. Should I wait?,finance
I got my Scrum Master certification but nobody will hire me without experience. Catch-22? I really need some perspective.,career
Here's my situation. My partner said they want to 'take a break.' What does that even mean?,relationship
Help! I'm tired of winter and want to move somewhere warm. Am I being impulsive?,relocation
I need advice. Should I let my child fail or protect them from every hardship?,family
Here's my situation. Should we get genetic testing before trying to conceive? I'm pregnant and not sure I want to keep it. How do I make this decision?,family
Here's my situation. My current employer countered my resignation with a huge raise. Should I stay? I love my job but hate my new manager. Can this be salvaged?,career
We want completely different things in life. Should we break up now or hope things change? Please help me decide.,relationship
I've been thinking a lot about this. Should I minor in something completely different from my major?,education
Here's my situation. I'm scared of healthcare quality in Argentina. Should that stop me from moving?,relocation
My children don't want to move abroad. Should I make them anyway? Any advice?,relocation
Is it better to have a strict morning routine or go with the flow? Am I overthinking this?,lifestyle
Big decision ahead. My landlord offered to sell me the house I'm renting. Should I buy it?,finance
Not sure what to do. Should we combine finances after getting married or keep things separate?,relationship
Not sure what to do. Is a master's from an online university respected in consulting?,education
I need advice. Should I get vaccinated against hepatitis even though I'm younger employee?,health
I've been thinking a lot about this. Should I give up lean meats completely or allow occasional treats?,health
We fight about bathroom time constantly. Is this normal relationship stuff or are we incompatible? Please help me decide.,relationship
I've been thinking a lot about this. My company offers an ESPP. Should I participate?,finance
"I got into a top graduate program but have to take on $50,000 in loans. Should I go? Any advice?",education
I've been thinking a lot about this. My friend wants me to be their roommate in Vancouver. Should I take the plunge?,relocation
I'm overwhelmed by all my subscriptions. Should I cancel everything and resubscribe only to what I miss? Feeling so lost.,lifestyle
My child is struggling socially. Should I arrange playdates or let them figure it out? Please help me decide.,family
My financial advisor charges 30%. Is that reasonable or should I go fee-only? I really need some perspective.,finance
Should I prioritize my child's happiness or their future success? I really need some perspective.,family
"I found the perfect engagement ring but it's $10,000. Is that too much? Has anyone been through this?",relationship
"I got into a top graduate program but have to take on $15,000 in loans. Should I go?",education
I need advice. I've been trying to conceive for 1 years. Should we consider fertility treatments?,family
I need a biopsy but my insurance won't cover it. Should I pay out of pocket?,health
Here's my situation. I'm considering a PhD in product management but it takes 20 years. Is it worth it?,education
Really struggling with this. Should I get a fixer-upper and do the work myself or hire contractors?,finance
Help! Should I pick up chess again after 8 years or try something completely new?,lifestyle
I've been thinking a lot about this. Should we adopt instead of having biological children?,family
My industry is dying and I need to reskill. What's the fastest path to something stable? What would you do?,career
I'm considering a no-buy year. Has anyone done this successfully? Has anyone been through this?,lifestyle
Should I keep my business as a side gig or commit to it fully?,career
Should I get rid of books I've already read or keep them as a library? I really need some perspective.,lifestyle
Is it minimalist to have a well-stocked pantry or should I shop more frequently? What would you do?,lifestyle
We're considering having our child skip a grade. Good idea or social suicide?,family
Help! Is organic produce worth the extra cost?,health
I want to learn to play ukulele. Should I take lessons or use apps? Feeling so lost.,lifestyle
Really struggling with this. My university doesn't offer the exact major I want. Should I transfer or make do?,education
Should I sign a prenup? My partner is offended that I even brought it up. Any advice?,relationship
My house is full of inherited furniture I don't like. Should I keep it for sentimental reasons?,lifestyle
Should I pursue a terminal master's or go straight for the doctorate? Feeling so lost.,education
Should I buy a fixer-upper in a great neighborhood or a move-in ready home in an okay area? Am I overthinking this?,finance
Not sure what to do. My partner wants a destination wedding but I want my grandparents there. What do we do?,relationship
I've been thinking a lot about this. Should I travel abroad for a medical procedure that's cheaper there?,health
Should I be a stay-at-home parent or keep my career? Any advice?,family
"Should I move in with my partner to save money, or is that a terrible reason? Any advice?",relationship
My company wants me to open an office in Colombia. Should I take the expat package? What would you do?,relocation
"Here's my situation. Should I go to grad school right after undergrad or work first? Does your major actually matter for your career, or is the degree enough?",education
Should I take out a personal loan to pay off my higher-interest credit cards? Am I overthinking this?,finance
Really struggling with this. Should I move my elderly parent to live with me abroad or visit them frequently?,relocation
I need advice. I'm scared of pregnancy and childbirth. Should I reconsider having kids?,family
Is organic produce worth the extra cost? Any advice?,health
Should I hire an international moving company or do it myself? Any advice?,relocation
Help! I've been a nurse for 6 years but my real passion is entrepreneur. How do I make the switch?,career
My friend keeps giving me stock tips. Should I listen or stick to my plan? What would you do?,finance
My financial advisor charges 15%. Is that reasonable or should I go fee-only?,finance
Should I hire an international moving company or do it myself? What would you do?,relocation
I'm happier when my partner is away on trips. What does that say about us? I really need some perspective.,relationship
Help! My partner got into grad school in Amsterdam. Should I move with them or try long distance?,relocation
Should I invest in crypto or is it too risky? Any advice?,finance
Should we let our kids have smartphones before high school? Please help me decide. Should we get a medical power of attorney for my aging parent?,family
I've been thinking a lot about this. Should we adopt an older child or wait for an infant?,family
"Big decision ahead. Should I move to a walkable city and sell my car, or keep the car and the suburbs?",relocation
"I've been thinking a lot about this. Should I wake up at 5am like all the successful people say, or find my own rhythm?",lifestyle
My parents want me to study Journalism but I'm passionate about Business. How do I decide? Please help me decide.,education
"I need advice. After getting laid off from tech, I'm considering healthcare. Anyone made this switch?",career
Should I travel abroad for a medical procedure that's cheaper there? Feeling so lost.,health
Big decision ahead. Is it minimalist to have a well-stocked pantry or should I shop more frequently?,lifestyle
Is it better to make my bed every morning or does it not matter? Any advice?,lifestyle
Should we adopt instead of having biological children? Feeling so lost.,family
Should I keep a storage unit in my home country or get rid of everything? Feeling so lost.,relocation
My partner of 3 years cheated. Can trust ever be rebuilt? Feeling so lost.,relationship
Here's my situation. Should I buy less stuff or buy higher quality stuff? Should I go back to church for the community even if I don't believe?,lifestyle
My partner wants 10 kids and I want {num2}. How do we compromise? I really need some perspective.,family
Should I use my entire savings for a down payment or keep an emergency fund? I really need some perspective.,finance
Big decision ahead. My partner has terrible habits around communication. How do I address this?,relationship
Should I force my kid to eat foods they hate or let them have preferences? What would you do?,family
Really struggling with this. I have two offers on the table — one from a amazing startup and one from a stable corporation. How do I choose?,career
Really struggling with this. Should I freeze my eggs even though I'm not sure I want kids?,family
I have a business idea but I'm scared to quit my job. When is the right time to leap? Has anyone been through this?,career
Should I unsubscribe from all marketing emails or just the ones I never read? Any advice?,lifestyle
Big decision ahead. Should I keep a storage unit in my home country or get rid of everything?,relocation
Should I go paperless with all my documents or keep physical copies? Feeling so lost.,lifestyle
We're considering having our child skip a grade. Good idea or social suicide? What would you do?,family
Big decision ahead. Should I end a 12-year relationship if the sex life has completely died?,relationship
I need advice. Should I tell my child they're adopted or keep it a secret?,family
Not sure what to do. My company wants me to open an office in Canada. Should I take the expat package?,relocation
Should I move to a new city for a job opportunity or stay where I'm comfortable? I really need some perspective.,relocation
Help! My employer offers tuition reimbursement for a master's. Should I do it part-time?,education
We can't agree on whether to have kids. Should we get married anyway? What would you do?,relationship
Should I minimize my kitchen gadgets or keep the ones I use once a year? Am I overthinking this?,lifestyle
Should I invest in South Korea emerging markets or stick to domestic? Am I overthinking this?,finance
I need advice. I got my ITIL certification but nobody will hire me without experience. Catch-22?,career
Should I combine my English major with a Finance minor for better job prospects? I really need some perspective.,education
Here's my situation. Should I buy a new construction home or something with character that's older?,finance
My child wants to go to a party where I know there will be drinking. Should I let them?,family
Not sure what to do. Should I use a robo-advisor or manage my investments myself?,finance
I've been thinking a lot about this. My partner is a hoarder and I'm a minimalist. Can this relationship survive?,lifestyle
Is moving to a country with a completely different culture a bad idea at 33? What would you do?,relocation
"Should I become a single parent by choice, or wait for a partner? Feeling so lost.",family
I'm being offered a remote position with minimal travel. Is that a good deal? Am I overthinking this?,career
I need advice. My partner wants a destination wedding but I want my grandparents there. What do we do?,relationship
We want completely different things in life. Should we break up now or hope things change? Has anyone been through this?,relationship
"Help! After getting laid off from tech, I'm considering healthcare. Anyone made this switch?",career
I need advice. I'm being transferred and need to sell my house in a down market. Should I rent it out instead?,finance
Help! Is it better to invest in ETFs or mutual funds?,finance
Not sure what to do. My partner said they want to 'take a break.' What does that even mean?,relationship
I've been thinking a lot about this. I have no idea what to major in. Should I take a gap year to figure it out?,education
Should I take an entry-level position in a new field or hold out for something senior? Please help me decide.,career
Really struggling with this. We're considering IVF but it's so expensive. Is it worth the financial strain?,family
Really struggling with this. Should I go to the ER or wait for an urgent care appointment?,health
My lease is ending. Should I renew or finally make the move I've been dreaming about? Has anyone been through this?,relocation
Really struggling with this. Should I buy a house now with these high interest rates or wait until next year?,finance
"Should I become a single parent by choice, or wait for a partner? Please help me decide.",family
Is it better to rent and invest the difference or buy a home? Please help me decide.,finance
Should I bootstrap my startup or take investor money and give up equity? I really need some perspective.,career
Big decision ahead. I'm 27 and have no down payment saved. Should I even think about buying a home?,finance
Should I sell my investments to pay off credit card debt?,finance
A recruiter reached out about a role that sounds perfect but requires a photography certification I don't have. Should I invest in it? Please help me decide.,career
My religious family doesn't approve of my partner. Should we still have the wedding? Am I overthinking this?,relationship
Help! Is med school worth the debt and stress if I'm not 10% sure I want to be a doctor?,education
I have two offers on the table — one from a fast-growing startup and one from a stable corporation. How do I choose? Any advice?,career
Should I move my elderly parent to live with me abroad or visit them frequently? Has anyone been through this?,relocation
I'm scared of healthcare quality in Colombia. Should that stop me from moving? Feeling so lost.,relocation
I have a family to support so I can't just quit. How do I career change responsibly?,career
Help! Should I invest in a Roth IRA or traditional IRA?,finance
I'm considering selling everything and living in a tiny house. Am I crazy? Please help me decide.,lifestyle
Should I put down 15% to avoid PMI or keep that money invested? Feeling so lost.,finance
My partner never apologizes. Is this a personality trait or a red flag? Feeling so lost.,relationship
I've been thinking a lot about this. Should I move back to my hometown or stay in the city where I built my life?,relocation
Is owning a car necessary or should I rely on public transit and rideshare? Has anyone been through this?,lifestyle
I'm burned out from undergrad. Should I take time off before grad school? Feeling so lost.,education
Is it worth the paperwork nightmare to move to Vietnam for love? Any advice?,relocation
I've been freelancing for a while. Should I go back to a full-time job or keep doing my own thing? I really need some perspective.,career
Should I buy less stuff or buy higher quality stuff?,lifestyle
Not sure what to do. Is intermittent fasting safe for someone with my health conditions?,health
Here's my situation. Should we adopt domestically or internationally?,family
My partner wants a destination wedding but I want my grandparents there. What do we do? Any advice?,relationship
Really struggling with this. Should we move before having kids or wait until after?,relocation
"I've been thinking a lot about this. My partner wants me to cut off my best friend. That's controlling, right?",relationship
Really struggling with this. My partner said they want to 'take a break.' What does that even mean?,relationship
I've been thinking a lot about this. My child has a learning disability. Should we mainstream them or find a specialized school?,family
Should I keep my citizenship when moving abroad permanently?,relocation
"I'm only staying because I'm afraid of being alone. That's not a good reason, right? Any advice?",relationship
Should I get a fixer-upper and do the work myself or hire contractors? Am I overthinking this?,finance
I'm engaged but having second thoughts. Is this just cold feet or something more? I really need some perspective.,relationship
I want to leave finance and become a teacher but the salary drop is scary.,career
I need advice. Should I do the 30-day minimalism challenge where you get rid of one thing each day?,lifestyle
Should I go paperless with all my documents or keep physical copies? Has anyone been through this?,lifestyle
Should I tell my child they're adopted or keep it a secret? What would you do?,family
Really struggling with this. Should I get rid of books I've already read or keep them as a library?,lifestyle
Really struggling with this. My partner is a hoarder and I'm a minimalist. Can this relationship survive?,lifestyle
My partner of 15 years cheated. Can trust ever be rebuilt? Please help me decide.,relationship
Not sure what to do. We're considering moving to Arizona for the tax benefits. Is that a good enough reason?,relocation
Big decision ahead. Should I declutter my entire house in one weekend or do it gradually?,lifestyle
My kid wants a dog but I know I'll be the one taking care of it. Should we get one? Please help me decide.,family
Not sure what to do. Should we become foster parents even if we don't plan to adopt?,family
Should I get a second opinion on my diagnosis or trust my current doctor? Feeling so lost.,health
Not sure what to do. I want to learn to play piano. Should I take lessons or use apps?,lifestyle
My cholesterol is high. Should I change my diet or take statins? Am I overthinking this?,health
Big decision ahead. Is moving to a country with a completely different culture a bad idea at 38?,relocation
I need advice. My partner wants to move in together after 9 months. Too soon?,relationship
Should I move back to my home country after living abroad for 6 years? What would you do?,relocation
